,epochs,training_loss,lr,rec_train_losses,pde_train_losses,ic_train_losses,bc_train_losses,weight_rec,weight_pde,weight_ic,weight_bc
0,0,0.195867866743356,0.001,0.0,0.0027523368917172775,0.5785826630890369,0.006268584038480185,1.0,1.0,1.0,1.0
1,1,0.17953548021614552,0.001,0.0,0.0018096696585416794,0.5304826647043228,0.006314093028777279,1.0,1.0,1.0,1.0
2,2,0.16843481454998255,0.001,0.0,0.001617973222892033,0.4973711250349879,0.0063153302180580795,1.0,1.0,1.0,1.0
3,3,0.15756950248032808,0.001,0.0,0.0015356947405962273,0.46474156621843576,0.006431232352042571,1.0,1.0,1.0,1.0
4,4,0.14754193183034658,0.001,0.0,0.0014497290248982608,0.4345167661085725,0.006659284219495021,1.0,1.0,1.0,1.0
5,5,0.13862844184041023,0.001,0.0,0.0014098147621552926,0.40741204284131527,0.0070634534931741655,1.0,1.0,1.0,1.0
6,6,0.12963180104270577,0.001,0.0,0.001535329607577296,0.3797275386750698,0.00763252069009468,1.0,1.0,1.0,1.0
7,7,0.12218168494291604,0.001,0.0,0.0016548784624319524,0.3566488716751337,0.008241297531640157,1.0,1.0,1.0,1.0
8,8,0.11540764360688627,0.001,0.0,0.0017254237754968926,0.33558713737875223,0.008910356118576601,1.0,1.0,1.0,1.0
9,9,0.10843349108472466,0.001,0.0,0.001691535275313072,0.3139908965677023,0.009618027892429382,1.0,1.0,1.0,1.0
10,10,0.10149516351521015,0.001,0.0,0.0015230436838464811,0.29261409025639296,0.010348353011067957,1.0,1.0,1.0,1.0
11,11,0.09528934885747731,0.001,0.0,0.001295981797738932,0.27345701586455107,0.011115042434539646,1.0,1.0,1.0,1.0
12,12,0.08944503660313785,0.001,0.0,0.0011755000850826036,0.2552729584276676,0.011886644293554127,1.0,1.0,1.0,1.0
13,13,0.08373861364088953,0.001,0.0,0.0010359413172409404,0.23756466107442975,0.012615229992661625,1.0,1.0,1.0,1.0
14,14,0.07803160883486271,0.001,0.0,0.0010353141915402375,0.21953053586184978,0.013528970710467547,1.0,1.0,1.0,1.0
15,15,0.0725537077523768,0.001,0.0,0.0017637312739680056,0.2005806970410049,0.015316687698941678,1.0,1.0,1.0,1.0
16,16,0.06599759426899254,0.001,0.0,0.006305354807409458,0.1750808907672763,0.01660652953432873,1.0,1.0,1.0,1.0
17,17,0.05779969599097967,0.001,0.0,0.014913913764758036,0.1430508098565042,0.01543435949133709,1.0,1.0,1.0,1.0
18,18,0.050641431706026196,0.001,0.0,0.021113063558004797,0.11666297330521047,0.014148253278108314,1.0,1.0,1.0,1.0
19,19,0.045521362335421145,0.001,0.0,0.022437418054323643,0.10040119499899447,0.013725469849305227,1.0,1.0,1.0,1.0
20,20,0.04165329702664167,0.001,0.0,0.022985001327469945,0.08844474656507373,0.013530139316571876,1.0,1.0,1.0,1.0
21,21,0.03915146796498448,0.001,0.0,0.02298331051133573,0.08103818469680846,0.013432904932415113,1.0,1.0,1.0,1.0
22,22,0.036822704947553575,0.001,0.0,0.02169199683703482,0.07526498986408114,0.013511124881915748,1.0,1.0,1.0,1.0
23,23,0.035246241139248013,0.001,0.0,0.02155518636573106,0.0708168214187026,0.0133667113550473,1.0,1.0,1.0,1.0
24,24,0.03363781451480463,0.001,0.0,0.020956563705112785,0.0663963935803622,0.013560482271714136,1.0,1.0,1.0,1.0
25,25,0.03223981085466221,0.001,0.0,0.020594011060893536,0.06263511232100427,0.013490304350852966,1.0,1.0,1.0,1.0
26,26,0.030948258470743895,0.001,0.0,0.019507177232299,0.05992642475757748,0.01341117054107599,1.0,1.0,1.0,1.0
27,27,0.029588556906674057,0.001,0.0,0.018739329098025337,0.05665726331062615,0.013369076303206384,1.0,1.0,1.0,1.0
28,28,0.028315255709458143,0.001,0.0,0.01809926106943749,0.053376903757452965,0.013469601108226925,1.0,1.0,1.0,1.0
29,29,0.02719179989071563,0.001,0.0,0.017808804055675864,0.05022107937838882,0.013545515335863456,1.0,1.0,1.0,1.0
30,30,0.026355050213169307,0.001,0.0,0.01746787369484082,0.04823656496591866,0.0133607106981799,1.0,1.0,1.0,1.0
31,31,0.025389564514625818,0.001,0.0,0.016200949932681397,0.04645765607710928,0.01351008506026119,1.0,1.0,1.0,1.0
32,32,0.024392674735281616,0.001,0.0,0.01594667840981856,0.04363224934786558,0.01359909464372322,1.0,1.0,1.0,1.0
33,33,0.023724301834590733,0.001,0.0,0.015358081931481138,0.042103895102627575,0.013710925704799592,1.0,1.0,1.0,1.0
34,34,0.023051151947584003,0.001,0.0,0.015089636639459059,0.04041518154554069,0.013648636173456907,1.0,1.0,1.0,1.0
35,35,0.02230616961605847,0.001,0.0,0.01437166376854293,0.03884594375267625,0.013700899115065113,1.0,1.0,1.0,1.0
36,36,0.021447863371577114,0.001,0.0,0.013882039987947792,0.03682178491726518,0.01363976311404258,1.0,1.0,1.0,1.0
37,37,0.020979758468456566,0.001,0.0,0.013689556915778667,0.03548977442551404,0.013759941881289706,1.0,1.0,1.0,1.0
38,38,0.020304958103224635,0.001,0.0,0.012966462993063033,0.03419151925481856,0.01375689049018547,1.0,1.0,1.0,1.0
39,39,0.019689849112182856,0.001,0.0,0.012475787632865831,0.03270422579953447,0.013889531168388203,1.0,1.0,1.0,1.0
40,40,0.019144346355460584,0.001,0.0,0.012331486825132743,0.03126227599568665,0.013839274441124871,1.0,1.0,1.0,1.0
41,41,0.01867504377150908,0.001,0.0,0.012059951317496598,0.030155417160131037,0.01380976106156595,1.0,1.0,1.0,1.0
42,42,0.01807131915120408,0.001,0.0,0.0116806750302203,0.028605157567653805,0.013928123313235119,1.0,1.0,1.0,1.0
43,43,0.017494258063379675,0.001,0.0,0.011082691053161398,0.02754010248463601,0.013859979022527114,1.0,1.0,1.0,1.0
44,44,0.017101561359595507,0.001,0.0,0.010861796094104648,0.026517524616792798,0.013925361330620944,1.0,1.0,1.0,1.0
45,45,0.016534115828108042,0.001,0.0,0.010661733336746693,0.025073490804061294,0.01386712136445567,1.0,1.0,1.0,1.0
46,46,0.016244347527390346,0.001,0.0,0.010181755846133456,0.024575066519901156,0.013976218295283616,1.0,1.0,1.0,1.0
47,47,0.01586121611762792,0.001,0.0,0.010175834235269576,0.02345892059383914,0.013948892039479688,1.0,1.0,1.0,1.0
48,48,0.01544683609972708,0.001,0.0,0.009856897726422176,0.02261671394808218,0.013866895547835156,1.0,1.0,1.0,1.0
49,49,0.015068443462951109,0.001,0.0,0.009531170842819847,0.021764853270724416,0.013909305445849895,1.0,1.0,1.0,1.0
50,50,0.01476128344074823,0.001,0.0,0.0092648918798659,0.021041045314632356,0.013977912080008537,1.0,1.0,1.0,1.0
51,51,0.014272743079345673,0.001,0.0,0.008969189031631686,0.020051390980370343,0.013797648280160502,1.0,1.0,1.0,1.0
52,52,0.014052585262106732,0.001,0.0,0.00868113711476326,0.019558386120479554,0.013918232230935246,1.0,1.0,1.0,1.0
53,53,0.013606742140837014,0.001,0.0,0.008631322256405838,0.018377407162915915,0.013811495678965002,1.0,1.0,1.0,1.0
54,54,0.01335776096675545,0.001,0.0,0.008350496820639819,0.017971672932617366,0.013751112011959776,1.0,1.0,1.0,1.0
55,55,0.01311851548962295,0.001,0.0,0.008233847096562386,0.01735311234369874,0.013768586126388982,1.0,1.0,1.0,1.0
56,56,0.01281547630787827,0.001,0.0,0.007913586392533034,0.016702203545719385,0.013830637937644497,1.0,1.0,1.0,1.0
57,57,0.012532320397440344,0.001,0.0,0.007772487631882541,0.016152427589986473,0.013672045053681359,1.0,1.0,1.0,1.0
58,58,0.012236875161761418,0.001,0.0,0.007632559310877696,0.015380181779619306,0.013697883288841695,1.0,1.0,1.0,1.0
59,59,0.011972032923949882,0.001,0.0,0.007448761403793469,0.014844042249023914,0.013623293663840741,1.0,1.0,1.0,1.0
60,60,0.011752919643186033,0.001,0.0,0.007240934879519045,0.014447116933297366,0.013570706214522943,1.0,1.0,1.0,1.0
61,61,0.011468792072264478,0.001,0.0,0.007166712617618032,0.013854500168235973,0.013385162339545786,1.0,1.0,1.0,1.0
62,62,0.011222153814742342,0.001,0.0,0.007045112157356925,0.013296157267177477,0.01332519095740281,1.0,1.0,1.0,1.0
63,63,0.011099927738541737,0.001,0.0,0.006922535700141452,0.013046134408796206,0.013331112277228385,1.0,1.0,1.0,1.0
64,64,0.010906772455200553,0.001,0.0,0.006786557220038958,0.01264154928503558,0.013292209740029648,1.0,1.0,1.0,1.0
65,65,0.010647238319506869,0.001,0.0,0.0067170187685405836,0.012106634036172181,0.013118061411660165,1.0,1.0,1.0,1.0
66,66,0.010489727748790756,0.001,0.0,0.0066745386575348675,0.01177461227052845,0.013020031619817019,1.0,1.0,1.0,1.0
67,67,0.010249652608763427,0.001,0.0,0.00645184310269542,0.011284569656709209,0.013012544077355415,1.0,1.0,1.0,1.0
68,68,0.010075404832605273,0.001,0.0,0.0063538665272062644,0.010996832308592275,0.012875514687038958,1.0,1.0,1.0,1.0
69,69,0.00989015563391149,0.001,0.0,0.006333150216960348,0.010593217419227585,0.012744098232360557,1.0,1.0,1.0,1.0
70,70,0.009772753372089937,0.001,0.0,0.006201266805874184,0.010340095643186942,0.012776896706782281,1.0,1.0,1.0,1.0
71,71,0.00960911565925926,0.001,0.0,0.006170767795993015,0.009943302749888971,0.012713275820715353,1.0,1.0,1.0,1.0
72,72,0.009455933643039316,0.001,0.0,0.006057577920728363,0.009728906938107684,0.012581314804265276,1.0,1.0,1.0,1.0
73,73,0.009340780641650781,0.001,0.0,0.006028849296853878,0.00946492818184197,0.012528563296655193,1.0,1.0,1.0,1.0
74,74,0.009176390391075984,0.001,0.0,0.0059354551922297105,0.009152079321211204,0.012441635568393394,1.0,1.0,1.0,1.0
75,75,0.009056456852704287,0.001,0.0,0.005882080513401888,0.008906048577046022,0.012381240783724934,1.0,1.0,1.0,1.0
76,76,0.008957243815530092,0.001,0.0,0.005803586507681757,0.008646697067888454,0.012421446852385998,1.0,1.0,1.0,1.0
77,77,0.00885333912447095,0.001,0.0,0.005809935872093774,0.008522009127773345,0.012228071223944426,1.0,1.0,1.0,1.0
78,78,0.008732441812753677,0.001,0.0,0.005729336917283945,0.008251395571278408,0.012216592120239511,1.0,1.0,1.0,1.0
79,79,0.008647211652714759,0.001,0.0,0.005694520194083452,0.00802746380213648,0.012219650292536244,1.0,1.0,1.0,1.0
80,80,0.008533983171219006,0.001,0.0,0.005640794202918187,0.007880552802816965,0.012080601620255038,1.0,1.0,1.0,1.0
81,81,0.008467274077702314,0.001,0.0,0.005582269805017859,0.007738104177406058,0.012081447493983433,1.0,1.0,1.0,1.0
82,82,0.00838715914869681,0.001,0.0,0.005609821368125267,0.007503930479288101,0.012047724681906402,1.0,1.0,1.0,1.0
83,83,0.008247653138823807,0.001,0.0,0.005509246329893358,0.00734307874517981,0.011890633351868019,1.0,1.0,1.0,1.0
84,84,0.008181000623153523,0.001,0.0,0.00551498297136277,0.007216108017018996,0.01181190978968516,1.0,1.0,1.0,1.0
85,85,0.008092080359347165,0.001,0.0,0.005422046946478076,0.00710877642268315,0.011745416355552152,1.0,1.0,1.0,1.0
86,86,0.008042484463658184,0.001,0.0,0.005426005111075938,0.007002641665167175,0.011698805668856949,1.0,1.0,1.0,1.0
87,87,0.008019607572350651,0.001,0.0,0.005410872050561011,0.0068803777830908075,0.011767571937525645,1.0,1.0,1.0,1.0
88,88,0.007881051846197806,0.001,0.0,0.005344256147509441,0.006739687058143318,0.011559211649000645,1.0,1.0,1.0,1.0
89,89,0.00784327433211729,0.001,0.0,0.005362204625271261,0.006610833952436224,0.011556783632840961,1.0,1.0,1.0,1.0
90,90,0.007802538195392117,0.001,0.0,0.005341433687135577,0.006538142100907862,0.011528038361575454,1.0,1.0,1.0,1.0
91,91,0.007701639420702122,0.001,0.0,0.005288922649924643,0.006371970041072927,0.011444025090895593,1.0,1.0,1.0,1.0
92,92,0.00762847627629526,0.001,0.0,0.005293584137689322,0.006274327795836143,0.011317516036797315,1.0,1.0,1.0,1.0
93,93,0.007608723535668105,0.001,0.0,0.005242857077973895,0.006213999688043259,0.011369313724571839,1.0,1.0,1.0,1.0
94,94,0.0074886582006001845,0.001,0.0,0.00524391551152803,0.0060407681739889085,0.011181290406966582,1.0,1.0,1.0,1.0
95,95,0.00747076902189292,0.001,0.0,0.0052156248420942575,0.0060263485356699675,0.01117033333866857,1.0,1.0,1.0,1.0
96,96,0.007406319346046075,0.001,0.0,0.005206492161960341,0.005962475566775538,0.011049990018364042,1.0,1.0,1.0,1.0
97,97,0.007360063405940309,0.001,0.0,0.005172439297894016,0.005836562399053946,0.011071188113419339,1.0,1.0,1.0,1.0
98,98,0.007326246268348768,0.001,0.0,0.005166613991605118,0.005755697522545233,0.011056426941649988,1.0,1.0,1.0,1.0
99,99,0.007290554713108577,0.001,0.0,0.005180881445994601,0.005723720270907506,0.010967062262352556,1.0,1.0,1.0,1.0
100,100,0.007234073869767599,0.001,0.0,0.005190012234379537,0.005665690696332604,0.010846518212929368,1.0,1.0,1.0,1.0
101,101,0.007190233533037826,0.001,0.0,0.0051649408269440755,0.005572327660047449,0.010833431617356837,1.0,1.0,1.0,1.0
102,102,0.0071178149519255385,0.001,0.0,0.005121879221405834,0.0055229704739758745,0.010708594956668094,1.0,1.0,1.0,1.0
103,103,0.007061539654387161,0.001,0.0,0.005106083393911831,0.005426233619800769,0.010652301367372274,1.0,1.0,1.0,1.0
104,104,0.007032442634226754,0.001,0.0,0.005053686196333729,0.005419495893875137,0.010624145448673517,1.0,1.0,1.0,1.0
105,105,0.00699444769998081,0.001,0.0,0.005142538546351716,0.005321470438502729,0.010519333562115207,1.0,1.0,1.0,1.0
106,106,0.006967491717659868,0.001,0.0,0.005044100165832788,0.0053196150256553665,0.010538759699556977,1.0,1.0,1.0,1.0
107,107,0.006920809842995368,0.001,0.0,0.005073643667856231,0.0052846422186121345,0.010404143307823688,1.0,1.0,1.0,1.0
108,108,0.00690069685515482,0.001,0.0,0.005082107716589235,0.00520837857038714,0.010411603754619136,1.0,1.0,1.0,1.0
109,109,0.0068747762707062066,0.001,0.0,0.0050703247979981825,0.005155790495336987,0.010398213169537485,1.0,1.0,1.0,1.0
110,110,0.00681492562580388,0.001,0.0,0.005056878420873545,0.005071037187008187,0.010316861124010757,1.0,1.0,1.0,1.0
111,111,0.006834563799202442,0.001,0.0,0.005051398809882812,0.0050841662305174395,0.01036812600796111,1.0,1.0,1.0,1.0
112,112,0.006745930761098862,0.001,0.0,0.005014920010580681,0.005022897836170159,0.010199973941780627,1.0,1.0,1.0,1.0
113,113,0.006726909283315763,0.001,0.0,0.00497558135248255,0.004982430065865628,0.010222715965937823,1.0,1.0,1.0,1.0
114,114,0.006676952834823169,0.001,0.0,0.0049551854899618775,0.0049251875607296824,0.010150485060876235,1.0,1.0,1.0,1.0
115,115,0.006639710074523464,0.001,0.0,0.004957149110850878,0.004884815061814152,0.010077165527036414,1.0,1.0,1.0,1.0
116,116,0.00663741234166082,0.001,0.0,0.0049549276736797765,0.004884994312305935,0.010072314675198868,1.0,1.0,1.0,1.0
117,117,0.006608365263673477,0.001,0.0,0.004975720716174692,0.004800947877811268,0.010048426629509777,1.0,1.0,1.0,1.0
118,118,0.00652948189235758,0.001,0.0,0.0048936596140265465,0.004767955877468921,0.009926829865435138,1.0,1.0,1.0,1.0
119,119,0.006533834210131317,0.001,0.0,0.00489903092966415,0.004771468200488016,0.009931003296514973,1.0,1.0,1.0,1.0
120,120,0.006520781054859981,0.001,0.0,0.004946070825099014,0.004733019683044404,0.009883251943392679,1.0,1.0,1.0,1.0
121,121,0.006490729880169965,0.001,0.0,0.004913834345643409,0.004704378341557458,0.009853976545855403,1.0,1.0,1.0,1.0
122,122,0.006478733965195715,0.001,0.0,0.004900186351733282,0.004712052395916544,0.009823962725931779,1.0,1.0,1.0,1.0
123,123,0.006453689769841731,0.001,0.0,0.004916099031106569,0.004651274692150764,0.009793694858672097,1.0,1.0,1.0,1.0
124,124,0.006402607177733444,0.001,0.0,0.004824468356673606,0.004636982732336037,0.009746369876665995,1.0,1.0,1.0,1.0
125,125,0.006373530224664137,0.001,0.0,0.0048637987492838874,0.004596736718667671,0.009660054609412327,1.0,1.0,1.0,1.0
126,126,0.006387315472238697,0.001,0.0,0.004884100068011321,0.004588018186041154,0.009689827857073396,1.0,1.0,1.0,1.0
127,127,0.006369850903865881,0.001,0.0,0.004866575007326901,0.004530345264356583,0.009712631988804787,1.0,1.0,1.0,1.0
128,128,0.006360798521200195,0.001,0.0,0.004862561079789884,0.004538715089438483,0.009681119117885828,1.0,1.0,1.0,1.0
129,129,0.006307136587565765,0.001,0.0,0.004854855476878583,0.0044672766962321475,0.009599277138477191,1.0,1.0,1.0,1.0
130,130,0.006243224372155964,0.001,0.0,0.0047865075612207875,0.004426398387295194,0.009516766556771472,1.0,1.0,1.0,1.0
131,131,0.006226586105185561,0.001,0.0,0.004734168585855514,0.004423310136189684,0.009522279258817434,1.0,1.0,1.0,1.0
132,132,0.00627265710500069,0.001,0.0,0.004775847977725789,0.004482207601540722,0.009559915342833847,1.0,1.0,1.0,1.0
133,133,0.006213007218320854,0.001,0.0,0.004809533158550039,0.004431091670994647,0.009398396359756589,1.0,1.0,1.0,1.0
134,134,0.006199564260896295,0.001,0.0,0.004788965874467976,0.004402258520713076,0.00940746784908697,1.0,1.0,1.0,1.0
135,135,0.0061784615681972355,0.001,0.0,0.004758112714625895,0.0043719645764213055,0.009405306773260236,1.0,1.0,1.0,1.0
136,136,0.006187321414472535,0.001,0.0,0.004742058183182962,0.004389362249639817,0.009430543082999066,1.0,1.0,1.0,1.0
137,137,0.006130648107500747,0.001,0.0,0.004756666865432635,0.004324974215705879,0.009310302935773507,1.0,1.0,1.0,1.0
138,138,0.006085896064178087,0.001,0.0,0.004732322820927948,0.00431621570896823,0.009209149255184457,1.0,1.0,1.0,1.0
139,139,0.006098876096075401,0.001,0.0,0.004697427299106494,0.0043607447296381,0.009238455473678187,1.0,1.0,1.0,1.0
140,140,0.006118291974416934,0.001,0.0,0.004751766100525856,0.0042836053762584925,0.00931950387894176,1.0,1.0,1.0,1.0
141,141,0.006062761953216977,0.001,0.0,0.004685555541072972,0.004245319083565846,0.009257410798454657,1.0,1.0,1.0,1.0
142,142,0.006065983077860437,0.001,0.0,0.004692228932981379,0.004256907996023074,0.00924881172250025,1.0,1.0,1.0,1.0
143,143,0.006073926648241468,0.001,0.0,0.004721417237306014,0.0042584460898069665,0.009241916064638644,1.0,1.0,1.0,1.0
144,144,0.005999612403684296,0.001,0.0,0.004643092106562108,0.004229036814649589,0.009126707940595224,1.0,1.0,1.0,1.0
145,145,0.006013443067786284,0.001,0.0,0.004704083490651101,0.004210140206851065,0.009126105025643483,1.0,1.0,1.0,1.0
146,146,0.005977628869004548,0.001,0.0,0.004669784015277401,0.004155009431997314,0.009108092839596793,1.0,1.0,1.0,1.0
147,147,0.005963816933217458,0.001,0.0,0.004632314157788642,0.004159898031502962,0.009099238173803315,1.0,1.0,1.0,1.0
